"","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1","Theil's U"
"Training set",18.5167882574251,24.3760780069464,20.7012128345232,0.432804221584158,0.487556792446973,0.0907989414773258,-0.0577358321838257,NA
"Test set",167.839103087133,199.416638269838,167.839103087133,3.30590714603649,3.30590714603649,0.736170050548947,0.785088603260379,6.36179995224722
"Training set",24.0220439013636,34.1232749899404,26.9461284357889,0.44947621495204,0.503713080822681,0.0930861024586906,-0.288558367531181,NA
"Test set",337.019090604225,389.87086670478,337.019090604225,5.16844474025851,5.16844474025851,1.16424122572105,0.81973433696119,8.13246335563402
"Training set",31.6561663392431,51.0519997114645,38.9287071516663,0.442847659419191,0.545344062743239,0.107511878072748,-0.426613983875507,NA
"Test set",354.312113640595,416.355382405948,354.312113640595,4.12742508456204,4.12742508456204,0.978526222641197,0.780893872185226,6.98581532201179
"Training set",26.9102720945346,54.3891645669358,44.9467207480422,0.295505173467483,0.478530556102182,0.106359979954746,0.370626416890893,NA
"Test set",268.478116812365,313.434096373226,269.765120154108,2.61914580861435,2.63217743342177,0.638360536532142,0.784038023125052,7.77098051832152
"Training set",29.6316619099621,46.9760148057606,38.3941324483744,0.265446347617662,0.348422621215765,0.0965682614072432,5.29284256708236e-05,NA
"Test set",327.303136813189,361.319981392796,327.303136813189,2.63231959706935,2.63231959706935,0.823227218838356,0.764221012451036,8.27260822772578
"Training set",31.9043725651251,319.233670187257,129.241091108697,0.209857065885559,0.97795542659525,0.211549126949051,0.181305317089578,NA
"Test set",1159.78288713876,1362.76505126466,1159.78288713876,7.31480403069954,7.31480403069954,1.89839821932721,0.836634853165509,5.05468312455395
